"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","should allow if height check is disabled","RideComponent","2026-05-28","passed","2026-05-28","","submit","",""
"","4","should retrieve rides from the server when getRides is called","RideService","2026-05-28","passed","2026-05-28","","","",""
"","1","should provide ""people"" postfix for 2","ridesSummary","2026-05-28","passed","2026-05-28","","","",""
"","11","should navigate back when ride cannot be found","RideComponent","2026-05-28","passed","2026-05-28","","","",""
"","0","should emit on next","Router","2026-05-28","passed","2026-05-28","","","",""
"","9","should render correct number of height inputs","RideComponent","2026-05-28","passed","2026-05-28","","change people dropdown","",""
"","11","should navigate to ride page when chosen a ride","ChooseRideComponent","2026-05-28","passed","2026-05-28","","","",""
"","4","should allow if person has correct height","RideComponent","2026-05-28","passed","2026-05-28","","submit","",""
"","1","should display <robo-ride> when navigated to ""/ride/something""","RoboCoastersComponent","2026-05-28","passed","2026-05-28","","","",""
"","5","should render","SuccessComponent","2026-05-28","passed","2026-05-28","","","",""
"","7","should not allow person does not have the correct height","RideComponent","2026-05-28","passed","2026-05-28","","submit","",""
"","1","should retrieve a specific ride from the server when getRide is called","RideService","2026-05-28","passed","2026-05-28","","","",""
"","1","should display <robo-choose-ride> when navigating to the root","RoboCoastersComponent","2026-05-28","passed","2026-05-28","","","",""
"","1","should be able to unsubscribe","Router","2026-05-28","passed","2026-05-28","","","",""
"","4","should retrieve from storage","OrderService","2026-05-28","passed","2026-05-28","","currentOrder","",""
"","2","should display <robo-success> when navigated to ""/success""","RoboCoastersComponent","2026-05-28","passed","2026-05-28","","","",""
"","20","should navigate back on cancel","RideComponent","2026-05-28","passed","2026-05-28","","","",""
"","3","should immediately emit the current route onNext","Router","2026-05-28","passed","2026-05-28","","","",""
"","3","should provide ""person"" postfix for 1","ridesSummary","2026-05-28","passed","2026-05-28","","","",""
"","5","should display <robo-choose-ride> by default","RoboCoastersComponent","2026-05-28","passed","2026-05-28","","","",""
"","1","should retrieve undefined when there is no order yes","OrderService","2026-05-28","passed","2026-05-28","","currentOrder","",""
